Laptop Name,Release Date,Order No.,Model No.,ID,Video Memory,Storage,Optical Drive,URL,CPU Cores,CPU Name,CPU Frequency,Memory Capacity,RAM Type,RAM Speed,GPU,GPU Type,GPU Standard VRAM,GPU Max VRAM,Display Resolution
"MacBook ""Core Duo"" 1.83 13""","May 16, 2006",MA254LL/A,A1181,"MacBook1,1",64 MB,60 GB HDD,"8X ""Combo Drive""",https://everymac.com/systems/apple/macbook/specs/macbook_1.83.html,2,Core Duo (T2400) ,1.83 GHz ,"512 MB,2 GB",PC2-5300 DDR2,667 MHz,Intel GMA 950,Integrated,64 MB,64 MB,1280x800
"MacBook ""Core 2 Duo"" 2.0 13"" (Unibody)","October 14, 2008",MB466LL/A,A1278,"MacBook5,1",256 MB,160 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.0-aluminum-13-late-2008-unibody-specs.html,2,Core 2 Duo (P7350) ,2.0 GHz ,"2 GB,8 GB*",PC3-8500 DDR3,1066 MHz,GeForce 9400M,Integrated,256 MB,256 MB,1280x800
"MacBook ""Core Duo"" 2.0 13"" (White)","May 16, 2006",MA255LL/A,A1181,"MacBook1,1",64 MB,60 GB HDD,"4X ""SuperDrive""*",https://everymac.com/systems/apple/macbook/specs/macbook_2.0_white.html,2,Core Duo (T2500) ,2.0 GHz ,"512 MB,2 GB",PC2-5300 DDR2,667 MHz,Intel GMA 950,Integrated,64 MB,64 MB,1280x800
"MacBook ""Core 2 Duo"" 2.2 13"" (Black-SR)","November 1, 2007",MB063LL/B,A1181,"MacBook3,1",144 MB,160 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.2-black-13-late-2007-santa-rosa-specs.html,2,Core 2 Duo (T7500) ,2.2 GHz ,"1 GB,6 GB*",PC2-5300 DDR2,667 MHz,Intel GMA X3100,Integrated,144 MB,144 MB,1280x800
"MacBook ""Core Duo"" 2.0 13"" (Black)","May 16, 2006",MA472LL/A,A1181,"MacBook1,1",64 MB,80 GB HDD,"4X ""SuperDrive""*",https://everymac.com/systems/apple/macbook/specs/macbook_2.0_black.html,2,Core Duo (T2500) ,2.0 GHz ,"512 MB,2 GB",PC2-5300 DDR2,667 MHz,Intel GMA 950,Integrated,64 MB,64 MB,1280x800
"MacBook ""Core 2 Duo"" 2.1 13"" (White-08)","February 26, 2008*",MB402LL/A*,A1181,"MacBook4,1",144 MB,120 GB HDD,"8X ""Combo Drive""*",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.1-white-13-early-2008-penryn-specs.html,2,Core 2 Duo (T8100) ,2.1 GHz ,"1 GB,6 GB*",PC2-5300 DDR2,667 MHz,Intel GMA X3100,Integrated,144 MB,144 MB,1280x800
"MacBook ""Core 2 Duo"" 2.4 13"" (Black-08)","February 26, 2008",MB404LL/A,A1181,"MacBook4,1",144 MB,250 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.4-black-13-early-2008-penryn-specs.html,2,Core 2 Duo (T8300) ,2.4 GHz ,"2 GB,6 GB*",PC2-5300 DDR2,667 MHz,Intel GMA X3100,Integrated,144 MB,144 MB,1280x800
"MacBook ""Core 2 Duo"" 2.4 13"" (White-08)","February 26, 2008",MB403LL/A,A1181,"MacBook4,1",144 MB,160 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.4-white-13-early-2008-penryn-specs.html,2,Core 2 Duo (T8300) ,2.4 GHz ,"2 GB,6 GB*",PC2-5300 DDR2,667 MHz,Intel GMA X3100,Integrated,144 MB,144 MB,1280x800
"MacBook ""Core 2 Duo"" 2.16 13"" (White)","May 15, 2007",MB062LL/A,A1181,"MacBook2,1",64 MB,120 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.16-white-13-mid-2007-specs.html,2,Core 2 Duo (T7400) ,2.16 GHz ,"1 GB,4 GB*",PC2-5300 DDR2,667 MHz,Intel GMA 950,Integrated,64 MB,64 MB,1280x800
"MacBook ""Core 2 Duo"" 2.0 13"" (White/06)","November 8, 2006",MA700LL/A,A1181,"MacBook2,1",64 MB,80 GB HDD,"6X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.0-white-13-specs.html,2,Core 2 Duo (T7200) ,2.0 GHz ,"1 GB,4 GB*",PC2-5300 DDR2,667 MHz,Intel GMA 950,Integrated,64 MB,64 MB,1280x800
"MacBook ""Core 2 Duo"" 2.0 13"" (White/07)","May 15, 2007",MB061LL/A,A1181,"MacBook2,1",64 MB,80 GB HDD,"8X ""Combo Drive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.0-white-13-mid-2007-specs.html,2,Core 2 Duo (T7200) ,2.0 GHz ,"1 GB,4 GB*",PC2-5300 DDR2,667 MHz,Intel GMA 950,Integrated,64 MB,64 MB,1280x800
"MacBook ""Core 2 Duo"" 2.2 13"" (White-SR)","November 1, 2007",MB062LL/B,A1181,"MacBook3,1",144 MB,120 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.2-white-13-late-2007-santa-rosa-specs.html,2,Core 2 Duo (T7500) ,2.2 GHz ,"1 GB,6 GB*",PC2-5300 DDR2,667 MHz,Intel GMA X3100,Integrated,144 MB,144 MB,1280x800
"MacBook ""Core 2 Duo"" 2.0 13"" (White-SR)","November 1, 2007",MB061LL/B,A1181,"MacBook3,1",144 MB,80 GB HDD,"8X ""Combo Drive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.0-white-13-late-2007-santa-rosa-specs.html,2,Core 2 Duo (T7300) ,2.0 GHz ,"1 GB,6 GB*",PC2-5300 DDR2,667 MHz,Intel GMA X3100,Integrated,144 MB,144 MB,1280x800
"MacBook ""Core 2 Duo"" 2.16 13"" (Black)","May 15, 2007",MB063LL/A,A1181,"MacBook2,1",64 MB,160 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.16-black-13-mid-2007-specs.html,2,Core 2 Duo (T7400) ,2.16 GHz ,"1 GB,4 GB*",PC2-5300 DDR2,667 MHz,Intel GMA 950,Integrated,64 MB,64 MB,1280x800
"MacBook ""Core 2 Duo"" 2.0 13"" (Black)","November 8, 2006",MA701LL/A,A1181,"MacBook2,1",64 MB,120 GB HDD,"6X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.0-black-13-specs.html,2,Core 2 Duo (T7200) ,2.0 GHz ,"1 GB,4 GB*",PC2-5300 DDR2,667 MHz,Intel GMA 950,Integrated,64 MB,64 MB,1280x800
"MacBook ""Core 2 Duo"" 1.83 13""","November 8, 2006",MA699LL/A,A1181,"MacBook2,1",64 MB,60 GB HDD,"8X ""Combo Drive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-1.83-13-specs.html,2,Core 2 Duo (T5600) ,1.83 GHz ,"512 MB,4 GB*",PC2-5300 DDR2,667 MHz,Intel GMA 950,Integrated,64 MB,64 MB,1280x800
"MacBook ""Core i7"" 1.4 12"" (Mid-2017)","June 5, 2017*",BTO/CTO,A1534,"MacBook10,1",N/A*,"256, 512 GB SSD",None*,https://everymac.com/systems/apple/macbook/specs/macbook-core-i7-1.4-12-mid-2017-specs.html,2,Core i7 (I7-7Y75) ,1.4 GHz ,"8 GB,16 GB*",LPDDR3 SDRAM*,1866 MHz,HD Graphics 615,Integrated,N/A*,N/A*,2304x1440
"MacBook ""Core m5"" 1.2 12"" (Early 2016)","April 19, 2016",MLHC2LL/A*,A1534,"MacBook9,1",1.5 GB*,512 GB SSD,None*,https://everymac.com/systems/apple/macbook/specs/macbook-core-m5-1.2-12-early-2016-specs.html,2,Core m5 (M5-6Y54) ,1.2 GHz ,"8 GB,8 GB",LPDDR3 SDRAM*,1866 MHz,HD Graphics 515,Integrated,1.5 GB*,1.5 GB*,2304x1440
"MacBook ""Core M"" 1.2 12"" (Early 2015)","March 9, 2015*",MF865LL/A*,A1534,"MacBook8,1",1.5 GB*,512 GB SSD,None*,https://everymac.com/systems/apple/macbook/specs/macbook-core-m-1.2-12-early-2015-specs.html,2,Core M (M-5Y51) ,1.2 GHz ,"8 GB,8 GB",LPDDR3 SDRAM*,1600 MHz,HD Graphics 5300,Integrated,1.5 GB*,1.5 GB*,2304x1440
"MacBook ""Core i5"" 1.3 12"" (Mid-2017)","June 5, 2017*",MNYG2LL/A*,A1534,"MacBook10,1",N/A*,512 GB SSD,None*,https://everymac.com/systems/apple/macbook/specs/macbook-core-i5-1.3-12-mid-2017-specs.html,2,Core i5 (I5-7Y54) ,1.3 GHz ,"8 GB,16 GB*",LPDDR3 SDRAM*,1866 MHz,HD Graphics 615,Integrated,N/A*,N/A*,2304x1440
"MacBook ""Core m7"" 1.3 12"" (Early 2016)","April 19, 2016",BTO/CTO,A1534,"MacBook9,1",1.5 GB*,"256, 512 GB SSD",None*,https://everymac.com/systems/apple/macbook/specs/macbook-core-m7-1.3-12-early-2016-specs.html,2,Core m7 (M7-6Y75) ,1.3 GHz ,"8 GB,8 GB",LPDDR3 SDRAM*,1866 MHz,HD Graphics 515,Integrated,1.5 GB*,1.5 GB*,2304x1440
"MacBook ""Core m3"" 1.1 12"" (Early 2016)","April 19, 2016",MLHA2LL/A*,A1534,"MacBook9,1",1.5 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook/specs/macbook-core-m3-1.1-12-early-2016-specs.html,2,Core m3 (M3-6Y30) ,1.1 GHz ,"8 GB,8 GB",LPDDR3 SDRAM*,1866 MHz,HD Graphics 515,Integrated,1.5 GB*,1.5 GB*,2304x1440
"MacBook ""Core m3"" 1.2 12"" (Mid-2017)","June 5, 2017*",MNYF2LL/A*,A1534,"MacBook10,1",N/A*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook/specs/macbook-core-m3-1.2-12-mid-2017-specs.html,2,Core m3 (M3-7Y32) ,1.2 GHz ,"8 GB,16 GB*",LPDDR3 SDRAM*,1866 MHz,HD Graphics 615,Integrated,N/A*,N/A*,2304x1440
"MacBook ""Core M"" 1.3 12"" (Early 2015)","March 9, 2015*",BTO/CTO,A1534,"MacBook8,1",1.5 GB*,"256, 512 GB SSD",None*,https://everymac.com/systems/apple/macbook/specs/macbook-core-m-1.3-12-early-2015-specs.html,2,Core M (M-5Y71) ,1.3 GHz ,"8 GB,8 GB",LPDDR3 SDRAM*,1600 MHz,HD Graphics 5300,Integrated,1.5 GB*,1.5 GB*,2304x1440
"MacBook ""Core M"" 1.1 12"" (Early 2015)","March 9, 2015*",MF855LL/A*,A1534,"MacBook8,1",1.5 GB*,256 GB SSD,None*,https://everymac.com/systems/apple/macbook/specs/macbook-core-m-1.1-12-early-2015-specs.html,2,Core M (M-5Y31) ,1.1 GHz ,"8 GB,8 GB",LPDDR3 SDRAM*,1600 MHz,HD Graphics 5300,Integrated,1.5 GB*,1.5 GB*,2304x1440
"MacBook ""Core 2 Duo"" 2.4 13"" (Mid-2010)","May 18, 2010",MC516LL/A,A1342,"MacBook7,1",256 MB,250 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.4-white-13-polycarbonate-unibody-mid-2010-specs.html,2,Core 2 Duo (P8600) ,2.4 GHz ,"2 GB,16 GB*",PC3-8500 DDR3,1066 MHz,GeForce 320M,Integrated,256 MB,256 MB,1280x800
"MacBook ""Core 2 Duo"" 2.26 13"" (Uni/Late 09)","October 20, 2009",MC207LL/A,A1342,"MacBook6,1",256 MB,250 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.26-white-13-polycarbonate-unibody-late-2009-specs.html,2,Core 2 Duo (P7550) ,2.26 GHz ,"2 GB,8 GB*",PC3-8500 DDR3,1066 MHz,GeForce 9400M,Integrated,256 MB,256 MB,1280x800
"MacBook ""Core 2 Duo"" 2.13 13"" (White-09)","May 27, 2009",MC240LL/A,A1181,"MacBook5,2",256 MB,160 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.13-white-13-mid-2009-nvidia-specs.html,2,Core 2 Duo (P7450) ,2.13 GHz ,"2 GB,6 GB*",PC2-6400 DDR2,800 MHz,GeForce 9400M,Integrated,256 MB,256 MB,1280x800
"MacBook ""Core 2 Duo"" 2.0 13"" (White-09)","January 20, 2009",MB881LL/A,A1181,"MacBook5,2",256 MB,120 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.0-white-13-early-2009-nvidia-specs.html,2,Core 2 Duo (P7350) ,2.0 GHz ,"2 GB,6 GB*",PC2-5300 DDR2,667 MHz,GeForce 9400M,Integrated,256 MB,256 MB,1280x800
"MacBook ""Core 2 Duo"" 2.4 13"" (Unibody)","October 14, 2008",MB467LL/A,A1278,"MacBook5,1",256 MB,250 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook/specs/macbook-core-2-duo-2.4-aluminum-13-late-2008-unibody-specs.html,2,Core 2 Duo (P8600) ,2.4 GHz ,"2 GB,8 GB*",PC3-8500 DDR3,1066 MHz,GeForce 9400M,Integrated,256 MB,256 MB,1280x800
